cluster,color,meaning
C1,#0072B2,neutral cluster identity; not ordered risk
C2,#E69F00,neutral cluster identity; not ordered risk
C3,#009E73,neutral cluster identity; not ordered risk
C4,#D55E00,neutral cluster identity; not ordered risk
C5,#CC79A7,neutral cluster identity; not ordered risk
C6,#56B4E9,neutral cluster identity; not ordered risk
C7,#332288,neutral cluster identity; not ordered risk
