sr_type_desc,signal_category,rationale
Austin Code - Request Code Officer,code_enforcement,Code-enforcement intake request
ACD - Request Code Officer,code_enforcement,Code-enforcement intake request
DSD - Request Code Officer,code_enforcement,Legacy code-enforcement intake request
