boundary_vintage,effective_start_date,effective_end_date,boundary_source_url,retrieved_date,analysis_grid_rows,williamson_hex_rows,assigned_hex_rows,unassigned_hex_rows,jp1_hex_rows,jp2_hex_rows,jp3_hex_rows,jp4_hex_rows,assignment_method,grid_sha256,county_reference_sha256,precinct_download_sha256
2012-2021,2012-01-01,2021-12-31,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson,2026-09-04,7027,457,455,2,327,128,0,0,hex_point_on_surface,9411cf13e7a07a932e20c8aa2a4e01639fcf5af92e83b4033d8e66a94e3877e7,459e42f0637adc07057a3bb7424984d0ef2c43b2f5d7744791113f5d3c690eed,42ce42b4c64294caf5079e39a5e1e35be094d7ed99685be7d8944146087d1019
2022-present,2022-01-01,,https://gis.wilco.org/arcgis/rest/services/public/adopted_county_precincts/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson,2026-09-04,7027,457,455,2,382,3,70,0,hex_point_on_surface,9411cf13e7a07a932e20c8aa2a4e01639fcf5af92e83b4033d8e66a94e3877e7,459e42f0637adc07057a3bb7424984d0ef2c43b2f5d7744791113f5d3c690eed,ccf79f2b516cfd323d3c1d87c12ae1a4f64333d50b39f637bf8671c1f2e7541f
